"","longitude","latitude","datetime"
"268",-71.112835,42.327173,2022-01-01 14:48:06
"269",-71.112853,42.327139,2022-01-01 14:48:07
"270",-71.112869,42.327105,2022-01-01 14:48:09
"271",-71.112889,42.32707,2022-01-01 14:48:10
"272",-71.112905,42.327043,2022-01-01 14:48:11
"273",-71.11293,42.326995,2022-01-01 14:48:12
"274",-71.112954,42.32695,2022-01-01 14:48:14
"275",-71.112971,42.326916,2022-01-01 14:48:15
"276",-71.112988,42.326883,2022-01-01 14:48:16
"277",-71.113006,42.326846,2022-01-01 14:48:17
"278",-71.113021,42.326813,2022-01-01 14:48:19
"279",-71.113044,42.326775,2022-01-01 14:48:20
"280",-71.113059,42.32675,2022-01-01 14:48:21
"281",-71.113075,42.326719,2022-01-01 14:48:22
"282",-71.11309,42.326689,2022-01-01 14:48:24
"283",-71.113113,42.32665,2022-01-01 14:48:25
"284",-71.11314,42.326609,2022-01-01 14:48:27
"285",-71.113165,42.326567,2022-01-01 14:48:29
"286",-71.113177,42.326551,2022-01-01 14:48:30
"287",-71.113194,42.326537,2022-01-01 14:48:32
"288",-71.113203,42.326539,2022-01-01 14:48:33
"289",-71.113211,42.326541,2022-01-01 14:48:35
"290",-71.113211,42.326542,2022-01-01 14:48:36
"291",-71.113211,42.326543,2022-01-01 14:48:37
"292",-71.113209,42.326546,2022-01-01 14:48:39
"293",-71.113211,42.326543,2022-01-01 14:48:40
"294",-71.113213,42.326538,2022-01-01 14:48:42
"295",-71.113213,42.326536,2022-01-01 14:48:43
"296",-71.113213,42.326538,2022-01-01 14:48:44
"297",-71.113213,42.326541,2022-01-01 14:48:45
"298",-71.113214,42.326537,2022-01-01 14:48:46
"299",-71.113217,42.326528,2022-01-01 14:48:48
"300",-71.113226,42.326514,2022-01-01 14:48:49
"301",-71.113234,42.326483,2022-01-01 14:48:50
"302",-71.11324,42.326469,2022-01-01 14:48:51
"303",-71.113254,42.326436,2022-01-01 14:48:52
"304",-71.113272,42.326406,2022-01-01 14:48:54
"305",-71.113294,42.326371,2022-01-01 14:48:55
"306",-71.113312,42.32634,2022-01-01 14:48:56
"307",-71.113328,42.32631,2022-01-01 14:48:57
"308",-71.113348,42.326272,2022-01-01 14:48:58
"309",-71.113368,42.326232,2022-01-01 14:49:00
"310",-71.113387,42.3262,2022-01-01 14:49:01
"311",-71.113403,42.326169,2022-01-01 14:49:02
"312",-71.113422,42.326125,2022-01-01 14:49:03
"313",-71.113433,42.326098,2022-01-01 14:49:04
"314",-71.113442,42.32607,2022-01-01 14:49:05
"315",-71.11345,42.326041,2022-01-01 14:49:06
"316",-71.113463,42.326006,2022-01-01 14:49:08
"317",-71.113473,42.325968,2022-01-01 14:49:09
"318",-71.113484,42.325931,2022-01-01 14:49:10
"319",-71.113488,42.325918,2022-01-01 14:49:11
"320",-71.113494,42.325881,2022-01-01 14:49:13
"321",-71.113502,42.325836,2022-01-01 14:49:14
"322",-71.11351,42.325797,2022-01-01 14:49:16
"323",-71.113519,42.325751,2022-01-01 14:49:17
"324",-71.113528,42.325708,2022-01-01 14:49:19
"325",-71.113534,42.325679,2022-01-01 14:49:20
"326",-71.113547,42.325628,2022-01-01 14:49:22
"327",-71.11356,42.325588,2022-01-01 14:49:23
"328",-71.113573,42.325547,2022-01-01 14:49:25
"329",-71.113585,42.325515,2022-01-01 14:49:26
"330",-71.113603,42.325472,2022-01-01 14:49:27
"331",-71.113612,42.325454,2022-01-01 14:49:28
"332",-71.11364,42.325409,2022-01-01 14:49:30
"333",-71.11365,42.325395,2022-01-01 14:49:31
"334",-71.11366,42.325381,2022-01-01 14:49:32
"335",-71.113687,42.325351,2022-01-01 14:49:33
"336",-71.113709,42.325327,2022-01-01 14:49:34
"337",-71.11374,42.325294,2022-01-01 14:49:36
"338",-71.113751,42.325282,2022-01-01 14:49:37
"339",-71.113778,42.325258,2022-01-01 14:49:38
"340",-71.113788,42.325251,2022-01-01 14:49:39
"341",-71.113825,42.325227,2022-01-01 14:49:40
"342",-71.113839,42.325219,2022-01-01 14:49:41
"343",-71.113882,42.325199,2022-01-01 14:49:42
"344",-71.113899,42.325192,2022-01-01 14:49:43
"345",-71.11393,42.325179,2022-01-01 14:49:44
"346",-71.113958,42.325162,2022-01-01 14:49:46
"347",-71.113982,42.325146,2022-01-01 14:49:47
"348",-71.114016,42.325124,2022-01-01 14:49:49
"349",-71.114031,42.325113,2022-01-01 14:49:50
"350",-71.114048,42.325102,2022-01-01 14:49:51
"351",-71.114078,42.325073,2022-01-01 14:49:53
"352",-71.114088,42.325065,2022-01-01 14:49:54
"353",-71.114103,42.325053,2022-01-01 14:49:55
"354",-71.114118,42.325041,2022-01-01 14:49:57
"355",-71.114134,42.325032,2022-01-01 14:49:58
"356",-71.114149,42.325024,2022-01-01 14:49:59
"357",-71.114162,42.325018,2022-01-01 14:50:00
"358",-71.114189,42.325005,2022-01-01 14:50:01
"359",-71.114236,42.324983,2022-01-01 14:50:03
"360",-71.114252,42.324975,2022-01-01 14:50:04
"361",-71.114268,42.324968,2022-01-01 14:50:05
"362",-71.114301,42.324951,2022-01-01 14:50:07
"363",-71.114311,42.324944,2022-01-01 14:50:08
"364",-71.114346,42.324926,2022-01-01 14:50:09
"365",-71.114371,42.324906,2022-01-01 14:50:11
"366",-71.114411,42.324877,2022-01-01 14:50:12
"367",-71.114444,42.32485,2022-01-01 14:50:14
"368",-71.114487,42.324811,2022-01-01 14:50:15
"369",-71.114517,42.324785,2022-01-01 14:50:16
"370",-71.114569,42.324735,2022-01-01 14:50:18
"371",-71.114606,42.324697,2022-01-01 14:50:20
"372",-71.114644,42.324661,2022-01-01 14:50:21
"373",-71.114673,42.324628,2022-01-01 14:50:23
"374",-71.114693,42.324604,2022-01-01 14:50:24
"375",-71.114726,42.324567,2022-01-01 14:50:25
"376",-71.11474,42.324552,2022-01-01 14:50:26
"377",-71.114764,42.32452,2022-01-01 14:50:28
